code,code_type,short_description,long_description
A41.9-3547,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-2672,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
A41.9-2006,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-3080,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-2345,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992145,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-5493,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-1711,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-1084,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
I10-3743,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
M54.5-1124,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
453783,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930002,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
453782,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
J18.9-2546,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
E11.9-5343,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-5585,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-3362,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930004,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
J18.9-5434,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
N39.0-1394,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
R07.9-2911,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
E11.9-2287,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-3082,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
453783,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
A41.9-5260,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-756,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
E11.9-4630,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992143,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
C34.90-119,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-1140,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-2336,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
E11.9-5534,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-3866,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
M54.5-5772,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
J18.9-4117,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-1773,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-1063,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
A41.9-2080,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-2098,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
Z00.00-4016,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-2079,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-4585,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-1777,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-1644,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-5953,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
C34.90-4241,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
K21.9-2591,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
I10-400,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
M54.5-2894,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-3242,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-292,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
I10-2127,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992146,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
453788,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-2163,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
J18.9-5034,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-1441,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
J18.9-3035,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-2363,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
N39.0-318,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
R07.9-4477,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-621,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
A41.9-3427,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
800535,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
710207,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
Z00.00-831,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930001,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-2544,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-199,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
C34.90-3611,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-793,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
E11.9-2384,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
C34.90-4087,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
810014,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
J18.9-2969,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
I10-3226,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
710200,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
710207,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
453787,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-3215,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
I10-2890,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
800538,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
930102,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-2663,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-2629,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-5035,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-1874,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-4154,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
A41.9-1126,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
930002,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
930100,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
I10-1504,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
N39.0-3309,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-5325,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-1606,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
A41.9-4822,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-2991,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
A41.9-4900,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
K21.9-3914,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-5763,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453781,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930003,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
Z00.00-1672,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
800535,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
A41.9-5930,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992147,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
J18.9-3252,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
C34.90-2893,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-3156,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-3751,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
800534,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
C34.90-1601,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-3521,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
E11.9-3703,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
Z00.00-1383,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
R07.9-3351,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-3696,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
K21.9-1389,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-5004,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
930102,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
E11.9-4572,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
K21.9-1613,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
R07.9-243,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
C34.90-899,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-3591,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-2497,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-5992,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-4905,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-3970,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
I10-3677,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-4729,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992138,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
R07.9-5414,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
453787,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
J18.9-5664,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-5380,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-2795,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930108,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-2305,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-5520,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
800537,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
364157,CPT,venipuncture,venipuncture documented during patient clinical encounter
A41.9-5515,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-424,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-2454,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
R07.9-2605,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-3803,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
992137,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-5379,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
930107,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
C34.90-4747,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-143,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
Z00.00-2647,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-3504,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-5350,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
E11.9-5767,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-4904,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-4627,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-5179,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
R07.9-2400,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-1426,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-2812,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
N39.0-1512,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
K21.9-410,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
R07.9-4351,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-5231,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
J18.9-3460,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
I10-797,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
A41.9-2784,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-2427,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
E11.9-2774,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
R07.9-1745,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
Z00.00-2676,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-2025,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
N39.0-4972,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-3936,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-329,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-3113,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
E11.9-2428,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
453786,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
Z00.00-3071,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-2905,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-3612,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
I10-4267,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930004,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
930105,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-3288,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-923,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
C34.90-3561,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-2212,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-2904,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
R07.9-2692,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710204,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
Z00.00-2488,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
453782,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
I10-5801,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
453781,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-2065,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800539,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
A41.9-5043,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-2111,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-5552,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-2410,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
C34.90-4933,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
J18.9-2160,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-1953,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992136,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
N39.0-4451,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-1880,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-1868,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
I10-4938,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
C34.90-963,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
N39.0-2895,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-5378,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-5908,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-5467,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
Z00.00-2771,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-1875,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
I10-1342,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
K21.9-5097,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
I10-5996,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-5727,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-2327,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-2316,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
A41.9-249,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-4506,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-2761,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-2705,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-4711,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
930102,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-2775,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
