code,short_description,long_description,category
72193,ct scan pelvis with contrast,computed tomography of pelvis with contrast material for enhanced evaluation of pelvic mass lymphadenopathy or abscess,Radiology
73000,radiologic examination clavicle complete,radiologic examination of clavicle complete for evaluation of clavicular fracture or pathology,Radiology
73030,radiologic examination shoulder complete,radiologic examination of shoulder complete minimum of 2 views for evaluation of shoulder pain fracture or dislocation,Radiology
73060,radiologic examination humerus,radiologic examination of humerus minimum of 2 views for evaluation of humeral fracture or pathology,Radiology
73070,radiologic examination elbow 2 views,radiologic examination of elbow 2 views anteroposterior and lateral for evaluation of elbow pathology,Radiology
73090,radiologic examination forearm 2 views,radiologic examination of forearm 2 views anteroposterior and lateral for evaluation of forearm fracture,Radiology
73100,radiologic examination wrist 2 views,radiologic examination of wrist 2 views anteroposterior and lateral for evaluation of wrist fracture or arthritis,Radiology
73110,radiologic examination wrist complete,radiologic examination of wrist complete minimum of 3 views for comprehensive evaluation of wrist pathology,Radiology
73120,radiologic examination hand 2 views,radiologic examination of hand 2 views anteroposterior and lateral for evaluation of hand fracture,Radiology
73130,radiologic examination hand complete,radiologic examination of hand minimum of 3 views for comprehensive evaluation of hand fracture or arthritis,Radiology
73500,radiologic examination hip unilateral 1 view,radiologic examination of hip unilateral with pelvis when performed 1 view for hip evaluation,Radiology
73560,radiologic examination knee 1 or 2 views,radiologic examination of knee 1 or 2 views for evaluation of knee pain fracture or arthritis,Radiology
73590,radiologic examination tibia and fibula 2 views,radiologic examination of tibia and fibula 2 views for evaluation of lower leg fracture or pathology,Radiology
73600,radiologic examination ankle 2 views,radiologic examination of ankle 2 views anteroposterior and lateral for evaluation of ankle fracture or sprain,Radiology
73610,radiologic examination ankle complete,radiologic examination of ankle complete minimum of 3 views for comprehensive ankle evaluation,Radiology
73620,radiologic examination foot 2 views,radiologic examination of foot 2 views anteroposterior and lateral for evaluation of foot fracture,Radiology
73630,radiologic examination foot complete,radiologic examination of foot complete minimum of 3 views for comprehensive foot evaluation,Radiology
73700,ct scan lower extremity without contrast,computed tomography of lower extremity without contrast for evaluation of fracture tumor or vascular pathology,Radiology
73721,mri any joint of lower extremity without contrast,magnetic resonance imaging of any joint of lower extremity without contrast material for evaluation of ligament meniscal or cartilage injury,Radiology
74000,radiologic examination abdomen single view,radiologic examination of abdomen single anteroposterior view for evaluation of bowel obstruction or free air,Radiology
74018,radiologic examination abdomen 2 views,radiologic examination of abdomen 2 views including anteroposterior upright and supine for abdominal evaluation,Radiology
74022,radiologic examination abdomen complete acute abdomen series,radiologic examination of abdomen complete acute abdomen series including supine upright and chest views,Radiology
74150,ct scan abdomen without contrast,computed tomography of abdomen without contrast material for evaluation of abdominal mass liver pathology or acute abdomen,Radiology
74160,ct scan abdomen with contrast,computed tomography of abdomen with contrast material for enhanced evaluation of abdominal pathology including liver pancreas kidney,Radiology
74170,ct scan abdomen without contrast followed by with contrast,computed tomography of abdomen without contrast followed by with contrast material and further sections for comprehensive abdominal evaluation,Radiology
74176,ct scan abdomen and pelvis without contrast,computed tomography of abdomen and pelvis without contrast material for evaluation of combined abdominal and pelvic pathology,Radiology
74177,ct scan abdomen and pelvis with contrast,computed tomography of abdomen and pelvis with contrast material for comprehensive evaluation of abdominal and pelvic disease,Radiology
74178,ct scan abdomen and pelvis without then with contrast,computed tomography of abdomen and pelvis without contrast material in one or both body regions followed by contrast and further sections,Radiology
76536,ultrasound soft tissue head neck including thyroid,ultrasound of soft tissues of head and neck including thyroid parathyroids parotid and lymph nodes real time with image documentation,Radiology
76700,ultrasound abdomen complete,ultrasound of abdomen real time with image documentation complete including liver gallbladder common bile duct pancreas spleen kidneys,Radiology
76770,ultrasound retroperitoneal complete,ultrasound of retroperitoneal area complete real time with image documentation including kidneys and aorta,Radiology
76805,ultrasound pregnant uterus complete,ultrasound of pregnant uterus real time with image documentation fetal and maternal evaluation complete transabdominal approach,Radiology
76830,ultrasound transvaginal,ultrasound transvaginal pelvic examination real time with image documentation for evaluation of uterus ovaries and adnexa,Radiology
76856,ultrasound pelvic non obstetric complete,ultrasound pelvic nonobstetric real time with image documentation complete evaluation of pelvic organs,Radiology
76881,ultrasound extremity non vascular complete,ultrasound of extremity nonvascular real time with image documentation complete evaluation of soft tissue mass or fluid collection,Radiology
77065,diagnostic mammography unilateral,diagnostic mammography including computer aided detection when performed unilateral,Radiology
77066,diagnostic mammography bilateral,diagnostic mammography including computer aided detection when performed bilateral for breast cancer screening or evaluation,Radiology
77067,screening mammography bilateral,screening mammography bilateral including computer aided detection when performed for breast cancer screening,Radiology
77080,dxa bone density study axial skeleton,dual energy x ray absorptiometry dxa bone density study axial skeleton including hip and spine for osteoporosis evaluation,Radiology
80047,basic metabolic panel ionized calcium,basic metabolic panel with ionized calcium including glucose bun creatinine sodium potassium chloride co2,Pathology and Laboratory
80048,basic metabolic panel calcium total,basic metabolic panel with calcium total including glucose bun creatinine sodium potassium chloride co2 calcium,Pathology and Laboratory
80050,general health panel,general health panel including comprehensive metabolic panel cbc with differential and thyroid stimulating hormone,Pathology and Laboratory
80053,comprehensive metabolic panel,comprehensive metabolic panel including glucose bun creatinine sodium potassium chloride co2 calcium total protein albumin bilirubin alkaline phosphatase alt ast,Pathology and Laboratory
80055,obstetric panel,obstetric panel including hepatitis b surface antigen hiv rubella syphilis antibody screen blood type rh and cbc,Pathology and Laboratory
80061,lipid panel,lipid panel including total cholesterol hdl cholesterol ldl cholesterol measured or calculated and triglycerides,Pathology and Laboratory
80069,renal function panel,renal function panel including albumin bun calcium co2 creatinine glucose phosphorus sodium and potassium,Pathology and Laboratory
80074,acute hepatitis panel,acute hepatitis panel including hepatitis a antibody igm hepatitis b core antibody igm hepatitis b surface antigen hepatitis c antibody,Pathology and Laboratory
80076,hepatic function panel,hepatic function panel including albumin total bilirubin direct bilirubin alkaline phosphatase total protein alt and ast,Pathology and Laboratory
81000,urinalysis with microscopy non automated,urinalysis by non automated with microscopy for detection of urinary tract infection kidney disease or metabolic disorder,Pathology and Laboratory
81001,urinalysis automated with microscopy,urinalysis automated with microscopy examination of urine specimen for detection of infection or disease,Pathology and Laboratory
81002,urinalysis non automated without microscopy,urinalysis by non automated without microscopy dipstick method for rapid screening,Pathology and Laboratory
81003,urinalysis automated without microscopy,urinalysis automated without microscopy for rapid screening of urine abnormalities,Pathology and Laboratory
81025,urine pregnancy test,urine pregnancy test by visual color comparison method for detection of human chorionic gonadotropin,Pathology and Laboratory
82040,serum albumin quantitative,albumin serum plasma or whole blood quantitative measurement for evaluation of liver function and nutritional status,Pathology and Laboratory
82150,amylase,amylase serum quantitative measurement for evaluation of pancreatitis or pancreatic disease,Pathology and Laboratory
82247,total bilirubin,bilirubin total quantitative measurement for evaluation of liver function jaundice or hemolytic disease,Pathology and Laboratory
82248,direct bilirubin,bilirubin direct quantitative measurement for evaluation of obstructive jaundice or hepatobiliary disease,Pathology and Laboratory
82306,vitamin d 25 hydroxy,vitamin d 25 hydroxy includes d2 and d3 quantitative measurement for evaluation of vitamin d deficiency,Pathology and Laboratory
82310,calcium total,calcium total quantitative measurement in blood for evaluation of parathyroid disease or bone metabolism,Pathology and Laboratory
82374,carbon dioxide bicarbonate,carbon dioxide co2 bicarbonate quantitative measurement for evaluation of acid base balance,Pathology and Laboratory
82378,carcinoembryonic antigen cea,carcinoembryonic antigen cea quantitative measurement for monitoring of colorectal cancer treatment response,Pathology and Laboratory
82465,cholesterol serum total,cholesterol serum or whole blood total quantitative measurement for cardiovascular risk assessment,Pathology and Laboratory
82550,creatine kinase total,creatine kinase ck total quantitative measurement for evaluation of myocardial infarction or muscle disease,Pathology and Laboratory
82553,creatine kinase mb fraction,creatine kinase ck mb fraction quantitative measurement for diagnosis of acute myocardial infarction,Pathology and Laboratory
82565,creatinine blood,creatinine blood quantitative measurement for evaluation of kidney function and glomerular filtration rate,Pathology and Laboratory
82570,creatinine urine,creatinine quantitative in other source such as urine for evaluation of kidney function and creatinine clearance,Pathology and Laboratory
82607,cyanocobalamin vitamin b12,cyanocobalamin vitamin b12 quantitative measurement for evaluation of b12 deficiency and pernicious anemia,Pathology and Laboratory
82652,vitamin d 1 25 dihydroxy,vitamin d 1 25 dihydroxy including fraction quantitative measurement for evaluation of calcium metabolism,Pathology and Laboratory
82670,estradiol,estradiol e2 quantitative measurement for evaluation of reproductive function menopause or infertility,Pathology and Laboratory
82728,ferritin,ferritin quantitative measurement for evaluation of iron deficiency anemia or iron overload hemochromatosis,Pathology and Laboratory
82746,folic acid serum,folic acid serum quantitative measurement for evaluation of folate deficiency and megaloblastic anemia,Pathology and Laboratory
82784,gammaglobulin immunoglobulin igg iga igm each,gammaglobulin immunoglobulin igg iga igm quantitative measurement each for evaluation of immune deficiency or myeloma,Pathology and Laboratory
82947,glucose quantitative blood,glucose quantitative blood except reagent strip for evaluation of diabetes mellitus and glycemic control,Pathology and Laboratory
82950,glucose post dose tolerance test 3 specimens,glucose post glucose dose tolerance test including fasting 1 hour and 2 hour specimens for gestational diabetes screening,Pathology and Laboratory
82951,glucose tolerance test 3 specimens,glucose tolerance test 3 specimens including fasting for diagnosis of diabetes mellitus and insulin resistance,Pathology and Laboratory
83001,gonadotropin fsh,gonadotropin follicle stimulating hormone fsh quantitative measurement for evaluation of reproductive function,Pathology and Laboratory
83002,gonadotropin lh,gonadotropin luteinizing hormone lh quantitative measurement for evaluation of reproductive function ovulation,Pathology and Laboratory
83013,helicobacter pylori breath test,helicobacter pylori breath test analysis for c13 or c14 urea for detection of h pylori infection,Pathology and Laboratory
83036,hemoglobin a1c glycated hemoglobin,glycosylated hemoglobin hemoglobin a1c quantitative measurement for monitoring of diabetes mellitus glycemic control,Pathology and Laboratory
83088,histamine,histamine quantitative measurement for evaluation of allergic reactions anaphylaxis and mastocytosis,Pathology and Laboratory
83518,immunoassay for analyte not elsewhere specified,immunoassay for analyte other than infectious agent antibody or infectious agent antigen quantitative not otherwise specified,Pathology and Laboratory
83540,iron serum,iron serum quantitative measurement for evaluation of iron deficiency anemia or iron overload,Pathology and Laboratory
83550,iron binding capacity total tibc,iron binding capacity total tibc quantitative measurement for evaluation of iron status and anemia,Pathology and Laboratory
83615,lactate dehydrogenase ldh,lactate dehydrogenase ldh quantitative measurement for evaluation of tissue damage hemolytic anemia or liver disease,Pathology and Laboratory
83690,lipase,lipase quantitative measurement in blood for evaluation of pancreatitis or pancreatic disease,Pathology and Laboratory
83718,lipoprotein direct measurement hdl cholesterol,lipoprotein direct measurement high density lipoprotein hdl cholesterol for cardiovascular risk assessment,Pathology and Laboratory
83721,lipoprotein direct measurement ldl cholesterol,lipoprotein direct measurement low density lipoprotein ldl cholesterol for cardiovascular risk assessment,Pathology and Laboratory
83735,magnesium,magnesium quantitative measurement in blood for evaluation of electrolyte imbalance cardiac arrhythmia or malabsorption,Pathology and Laboratory
84075,alkaline phosphatase,phosphatase alkaline quantitative measurement for evaluation of liver disease bone disease or biliary obstruction,Pathology and Laboratory
84100,phosphorus inorganic phosphate,phosphorus inorganic phosphate quantitative measurement for evaluation of kidney disease bone metabolism or parathyroid function,Pathology and Laboratory
84132,potassium serum,potassium serum plasma or whole blood quantitative measurement for evaluation of electrolyte balance renal function,Pathology and Laboratory
84153,prostate specific antigen psa total,prostate specific antigen psa total quantitative measurement for screening and monitoring of prostate cancer,Pathology and Laboratory
84295,sodium serum,sodium serum plasma or whole blood quantitative measurement for evaluation of electrolyte balance and hydration status,Pathology and Laboratory
84436,thyroxine total t4,thyroxine t4 total quantitative measurement for evaluation of thyroid function hypothyroidism or hyperthyroidism,Pathology and Laboratory
84439,thyroxine free t4,thyroxine free ft4 quantitative measurement for evaluation of thyroid function and diagnosis of thyroid disorders,Pathology and Laboratory
84443,thyroid stimulating hormone tsh,thyroid stimulating hormone tsh quantitative measurement for evaluation of thyroid function screening for hypothyroidism,Pathology and Laboratory
84460,alanine aminotransferase alt sgpt,transferase alanine amino alt sgpt quantitative measurement for evaluation of liver disease hepatitis or drug toxicity,Pathology and Laboratory
84478,triglycerides,triglycerides quantitative measurement for evaluation of lipid metabolism cardiovascular risk and pancreatitis risk,Pathology and Laboratory
84480,triiodothyronine total t3,triiodothyronine t3 total quantitative measurement for evaluation of thyroid function and hyperthyroidism,Pathology and Laboratory
84484,troponin quantitative,troponin quantitative measurement for diagnosis of acute myocardial infarction and myocardial injury,Pathology and Laboratory
84520,blood urea nitrogen bun,urea nitrogen bun quantitative measurement in blood for evaluation of kidney function and hydration status,Pathology and Laboratory
84550,uric acid blood,uric acid blood quantitative measurement for evaluation of gout hyperuricemia kidney disease or tumor lysis syndrome,Pathology and Laboratory
85004,automated differential white blood cell count,automated differential wbc count including neutrophils lymphocytes monocytes eosinophils and basophils,Pathology and Laboratory
85014,hematocrit,hematocrit quantitative measurement of packed red blood cell volume for evaluation of anemia or polycythemia,Pathology and Laboratory
85018,hemoglobin,hemoglobin quantitative measurement for evaluation of anemia polycythemia or blood loss,Pathology and Laboratory
85025,complete blood count with automated differential,complete blood count cbc automated including wbc rbc hemoglobin hematocrit and platelet count with automated differential,Pathology and Laboratory
85027,complete blood count automated,complete blood count cbc automated including wbc rbc hemoglobin hematocrit and platelet count without differential,Pathology and Laboratory
85041,red blood cell count automated,red blood cell count automated for evaluation of anemia erythrocytosis or blood loss,Pathology and Laboratory
85045,reticulocyte count automated,reticulocyte count automated for evaluation of bone marrow response to anemia hemolytic disease or blood loss,Pathology and Laboratory
85048,white blood cell count automated,automated white blood cell leukocyte count for evaluation of infection inflammation or hematologic disease,Pathology and Laboratory
85049,platelet count automated,platelet count automated for evaluation of thrombocytopenia thrombocytosis or bleeding disorders,Pathology and Laboratory
85379,d dimer quantitative,d dimer quantitative or semi quantitative measurement for evaluation of deep vein thrombosis pulmonary embolism or dic,Pathology and Laboratory
85610,prothrombin time pt,prothrombin time pt one stage measurement for evaluation of coagulation and monitoring of warfarin anticoagulation therapy,Pathology and Laboratory
85730,partial thromboplastin time ptt,partial thromboplastin time ptt activated for evaluation of intrinsic coagulation pathway and heparin monitoring,Pathology and Laboratory
86140,c reactive protein crp,c reactive protein crp quantitative measurement for evaluation of inflammation infection or cardiovascular risk,Pathology and Laboratory
86200,cyclic citrullinated peptide antibody,cyclic citrullinated peptide ccp antibody for diagnosis and evaluation of rheumatoid arthritis,Pathology and Laboratory
86235,nuclear antigen antibody ena,extractable nuclear antigen antibody ena for evaluation of systemic lupus erythematosus and connective tissue disease,Pathology and Laboratory
86300,immunoassay for tumor antigen ca 15 3,immunoassay for tumor antigen quantitative ca 15 3 for monitoring breast cancer treatment response,Pathology and Laboratory
86304,immunoassay for tumor antigen ca 125,immunoassay for tumor antigen quantitative ca 125 for monitoring ovarian cancer treatment response,Pathology and Laboratory
86580,tuberculin skin test ppd,tuberculin skin test intradermal ppd purified protein derivative for screening of tuberculosis infection,Pathology and Laboratory
86592,syphilis test qualitative rpr or vdrl,syphilis test qualitative rapid plasma reagin rpr or vdrl for screening of syphilis infection,Pathology and Laboratory
86689,htlv antibody confirmatory,htlv or hiv antibody confirmatory test such as western blot for confirmation of hiv infection,Pathology and Laboratory
86694,herpes simplex type 1 antibody,herpes simplex virus type 1 antibody for detection of hsv 1 infection,Pathology and Laboratory
86695,herpes simplex type 2 antibody,herpes simplex virus type 2 antibody for detection of hsv 2 infection genital herpes,Pathology and Laboratory
86696,hepatitis a antibody total,hepatitis a antibody total for evaluation of hepatitis a virus exposure or immunity,Pathology and Laboratory
86704,hepatitis b core antibody total,hepatitis b core antibody hbcab total for evaluation of hepatitis b virus infection status,Pathology and Laboratory
86706,hepatitis b surface antibody,hepatitis b surface antibody hbsab quantitative for evaluation of hepatitis b immunity after vaccination or infection,Pathology and Laboratory
86803,hepatitis c antibody,hepatitis c antibody for screening and detection of hepatitis c virus infection,Pathology and Laboratory
87040,blood culture for bacteria,culture bacterial blood aerobic including isolation identification and presumptive susceptibility testing,Pathology and Laboratory
87045,stool culture bacteria,culture bacterial stool aerobic with isolation and preliminary examination for enteric pathogens,Pathology and Laboratory
87070,culture bacterial any source except urine blood stool,culture bacterial any other source except urine blood or stool aerobic with isolation and identification,Pathology and Laboratory
87077,culture anaerobic organism identification,culture bacterial aerobic and additional anaerobic identification of organisms for anaerobic infection,Pathology and Laboratory
87081,culture presumptive pathogen screening,culture screening only for single organism including presumptive identification by colony morphology,Pathology and Laboratory
87086,urine culture bacterial quantitative colony count,culture bacterial quantitative urine colony count with isolation identification and susceptibility for urinary tract infection,Pathology and Laboratory
87186,susceptibility testing antimicrobial mic,susceptibility studies antimicrobial agent minimum inhibitory concentration mic for treatment guidance of bacterial infection,Pathology and Laboratory
87491,chlamydia trachomatis nucleic acid amplification,infectious agent detection by nucleic acid dna or rna chlamydia trachomatis amplified probe technique for chlamydia screening,Pathology and Laboratory
87591,neisseria gonorrhoeae nucleic acid amplification,infectious agent detection by nucleic acid dna or rna neisseria gonorrhoeae amplified probe technique for gonorrhea screening,Pathology and Laboratory
87635,sars cov 2 covid 19 nucleic acid amplification,infectious agent detection by nucleic acid sars cov 2 covid 19 amplified probe technique including specimen collection,Pathology and Laboratory
87801,infectious agent detection multiple organisms amplified,infectious agent detection by nucleic acid multiple organisms amplified probe technique for respiratory viral panel,Pathology and Laboratory
87880,group a strep rapid antigen detection,infectious agent antigen detection by immunoassay with direct optical observation streptococcus group a rapid strep test,Pathology and Laboratory
88112,cytopathology selective cellular enhancement,cytopathology selective cellular enhancement technique with interpretation including filter preparation for fine needle aspirate,Pathology and Laboratory
88160,cytopathology smears any other source,cytopathology smears any other source screening and interpretation for cytological diagnosis of abnormal cells,Pathology and Laboratory
88175,cytopathology cervical or vaginal thinprep,cytopathology cervical or vaginal collected in preservative fluid automated thin layer preparation screening by automated system and manual rescreening,Pathology and Laboratory
88305,surgical pathology gross and microscopic level 4,surgical pathology gross and microscopic examination level iv including breast biopsy colon biopsy thyroid lobectomy and lymph node biopsy,Pathology and Laboratory
88307,surgical pathology gross and microscopic level 5,surgical pathology gross and microscopic examination level v including bone marrow biopsy kidney biopsy liver biopsy,Pathology and Laboratory
88312,special stains group 1,special stain including interpretation and report group 1 for microorganisms such as acid fast gram or iron stain,Pathology and Laboratory
88342,immunohistochemistry each antibody,immunohistochemistry or immunocytochemistry per specimen each separately identifiable antibody for tumor marker analysis,Pathology and Laboratory
90460,immunization administration first vaccine component,immunization administration through 18 years of age via any route of administration with counseling by physician first or only component,Medicine
90471,immunization administration first injection,immunization administration including percutaneous intradermal subcutaneous or intramuscular injections first vaccine or toxoid component,Medicine
90472,immunization administration each additional injection,immunization administration each additional vaccine or toxoid component administered at same encounter,Medicine
90651,human papillomavirus vaccine 9 valent,human papillomavirus hpv vaccine 9 valent gardasil 9 for prevention of hpv infection and cervical cancer 3 dose schedule,Medicine
90658,influenza vaccine trivalent split virus,influenza virus vaccine trivalent iva3 split virus for intramuscular use seasonal flu vaccination,Medicine
90681,rotavirus vaccine pentavalent oral,rotavirus vaccine pentavalent rvv oral 3 dose schedule for prevention of rotavirus gastroenteritis,Medicine
90686,influenza vaccine quadrivalent preservative free,influenza virus vaccine quadrivalent iiv4 split virus preservative free for intramuscular use seasonal flu vaccination,Medicine
90707,measles mumps rubella mmr vaccine,measles mumps rubella mmr virus vaccine live for subcutaneous use immunization against measles mumps and rubella,Medicine
90710,measles mumps rubella varicella mmrv vaccine,measles mumps rubella and varicella mmrv vaccine live for subcutaneous use childhood immunization,Medicine
90713,poliovirus vaccine inactivated ipv,poliovirus vaccine inactivated ipv for subcutaneous or intramuscular use for polio prevention,Medicine
90714,tetanus diphtheria td vaccine adult use,tetanus and diphtheria toxoids td adsorbed preservative free for intramuscular use age 7 years or older,Medicine
90715,tetanus diphtheria pertussis tdap vaccine,tetanus diphtheria toxoids and acellular pertussis vaccine tdap for intramuscular use age 7 years or older,Medicine
90716,varicella vaccine live,varicella virus vaccine live for subcutaneous use immunization against chickenpox varicella zoster virus,Medicine
90732,pneumococcal polysaccharide vaccine,pneumococcal polysaccharide vaccine 23 valent ppsv23 for subcutaneous or intramuscular adult use for pneumonia prevention,Medicine
90734,meningococcal conjugate vaccine,meningococcal conjugate vaccine serogroups a c y w 135 for intramuscular use for meningitis prevention,Medicine
90837,psychotherapy 60 minutes with patient,psychotherapy 60 minutes with patient when performed with an evaluation and management service for mental health treatment,Medicine
90846,family psychotherapy without patient present,family psychotherapy without patient present 50 minutes for family counseling and mental health support,Medicine
90847,family psychotherapy with patient present,family psychotherapy conjoint psychotherapy with patient present 50 minutes for family mental health treatment,Medicine
90853,group psychotherapy,group psychotherapy other than of a multiple family group for mental health treatment,Medicine
90901,biofeedback training,biofeedback training by any modality including electromyographic autonomic or neurological feedback therapy,Medicine
90935,hemodialysis single treatment with evaluation,hemodialysis procedure with single evaluation by a physician or other qualified health care professional,Medicine
90937,hemodialysis repeated evaluation,hemodialysis procedure requiring repeated evaluation with or without substantial revision of dialysis prescription,Medicine
90945,dialysis procedure other than hemodialysis single evaluation,dialysis procedure other than hemodialysis such as peritoneal dialysis with single evaluation,Medicine
92002,ophthalmological services new patient intermediate,ophthalmological services medical examination and evaluation with initiation of diagnostic and treatment program intermediate new patient,Medicine
92004,ophthalmological services new patient comprehensive,ophthalmological services medical examination and evaluation with initiation or continuation of diagnostic and treatment program comprehensive new patient,Medicine
92012,ophthalmological services established patient intermediate,ophthalmological services medical examination and evaluation intermediate established patient,Medicine
92014,ophthalmological services established patient comprehensive,ophthalmological services medical examination and evaluation with initiation or continuation of treatment comprehensive established patient,Medicine
92015,refraction determination,determination of refractive state including refraction and prescription for corrective lenses,Medicine
92060,sensorimotor examination,sensorimotor examination with multiple measurements of ocular deviation strabismus evaluation,Medicine
92083,visual field examination extended,visual field examination unilateral or bilateral with extended testing such as tangent screen or goldmann type perimetry,Medicine
92250,fundus photography with interpretation,fundus photography with interpretation and report for evaluation of retinal disease diabetic retinopathy or macular degeneration,Medicine
92507,speech language therapy individual,treatment of speech language voice communication and or auditory processing disorder individual therapy session,Medicine
92523,speech language evaluation,evaluation of speech sound production language comprehension expression and communication for diagnosis of speech disorder,Medicine
92551,screening test pure tone air only,screening test pure tone air only for hearing loss evaluation,Medicine
92557,comprehensive audiometry,comprehensive audiometry threshold evaluation and speech recognition for diagnosis of hearing loss,Medicine
93000,electrocardiogram 12 lead with interpretation,electrocardiogram ecg routine 12 lead with at least 12 leads with interpretation and report for cardiac evaluation,Medicine
93005,electrocardiogram 12 lead tracing only,electrocardiogram ecg routine 12 lead tracing only without interpretation for cardiac evaluation,Medicine
93010,electrocardiogram 12 lead interpretation and report only,electrocardiogram ecg routine 12 lead interpretation and report only for cardiac rhythm evaluation,Medicine
93015,cardiovascular stress test,cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise continuous ecg monitoring and supervision,Medicine
93017,cardiovascular stress test tracing only,cardiovascular stress test using treadmill or bicycle exercise continuous electrocardiographic monitoring tracing only without interpretation,Medicine
93040,rhythm ecg 1 to 3 leads with interpretation,rhythm ecg 1 to 3 leads with interpretation and report for cardiac arrhythmia evaluation,Medicine
93224,holter monitor external ecg recording up to 48 hours,external electrocardiographic recording up to 48 hours by continuous rhythm recording including holter monitor analysis and report,Medicine
93268,event monitor external ecg recording,external patient activated electrocardiographic recording event monitor with interpretation and analysis for arrhythmia detection,Medicine
93280,programming device evaluation pacemaker,programming device evaluation in person of cardiac pacemaker system with iterative adjustment of programmable parameters,Medicine
93303,transthoracic echocardiography complete,transthoracic echocardiography for congenital cardiac anomalies complete study for evaluation of cardiac structure and function,Medicine
93306,echocardiography transthoracic with doppler complete,echocardiography transthoracic real time with image documentation 2d with or without m mode recording complete with doppler and color flow mapping,Medicine
93307,echocardiography transthoracic without doppler,echocardiography transthoracic real time with image documentation 2d with or without m mode recording complete without doppler,Medicine
93312,echocardiography transesophageal,echocardiography transesophageal real time with image documentation 2d with or without m mode recording for cardiac evaluation,Medicine
93350,stress echocardiography,echocardiography transthoracic real time with image documentation during rest and cardiovascular stress test with comparison,Medicine
93451,right heart catheterization,right heart catheterization including measurement of oxygen saturation and cardiac output when performed for hemodynamic evaluation,Medicine
93452,left heart catheterization,left heart catheterization including intraprocedural injection for left ventriculography imaging supervision and interpretation,Medicine
93458,catheter placement coronary angiography,catheter placement in coronary artery for coronary angiography including intraprocedural injection imaging supervision,Medicine
94010,spirometry including graphic record,spirometry including graphic record forced vital capacity fvc and forced expiratory volume fev1 for pulmonary function evaluation,Medicine
94060,bronchodilator responsiveness spirometry,bronchodilator responsiveness spirometry pre and post bronchodilator administration for evaluation of asthma and copd,Medicine
94375,respiratory flow volume loop,respiratory flow volume loop including maximal inspiratory and expiratory flow volume loop for pulmonary function evaluation,Medicine
94620,pulmonary stress testing simple,pulmonary stress testing simple evaluation of respiratory function during exercise for dyspnea evaluation,Medicine
94640,pressurized or nonpressurized inhalation treatment,pressurized or nonpressurized inhalation treatment for acute airway obstruction or for sputum induction for diagnostic purposes nebulizer therapy,Medicine
94664,demonstration and evaluation of patient use of aerosol device,demonstration and or evaluation of patient utilization of an aerosol generator nebulizer metered dose inhaler or ippb device,Medicine
94726,plethysmography for lung volumes,plethysmography for determination of lung volumes and when performed airway resistance for evaluation of restrictive or obstructive lung,Medicine
94729,diffusing capacity dlco,diffusing capacity dlco measurement of carbon monoxide diffusing capacity for evaluation of gas exchange efficiency,Medicine
94760,pulse oximetry single determination,noninvasive ear or pulse oximetry for oxygen saturation single determination for evaluation of hypoxemia,Medicine
94761,pulse oximetry multiple determinations,noninvasive ear or pulse oximetry for oxygen saturation multiple determinations for monitoring of respiratory status,Medicine
95004,allergy skin test percutaneous,percutaneous tests prick puncture with allergenic extracts immediate type reaction for evaluation of allergies,Medicine
95024,allergy skin test intracutaneous,intracutaneous intradermal tests with allergenic extracts immediate type reaction including test interpretation for allergy evaluation,Medicine
95115,allergen immunotherapy single injection,professional services for allergen immunotherapy not including provision of allergenic extracts single injection,Medicine
95165,allergen immunotherapy supervision of preparation,professional services for allergen immunotherapy supervision of preparation and provision of antigens for allergen immunotherapy single dose vials,Medicine
95250,ambulatory continuous glucose monitoring,ambulatory continuous glucose monitoring of interstitial tissue fluid via subcutaneous sensor for minimum 72 hours for diabetes management,Medicine
95700,electroencephalogram eeg routine,electroencephalogram eeg continuous recording without video routine eeg for evaluation of epilepsy seizure disorder,Medicine
95810,polysomnography sleep study,polysomnography sleep testing attended by a technologist including staging with 4 or more parameters for diagnosis of sleep apnea,Medicine
95819,electroencephalogram eeg with sleep,electroencephalogram eeg including recording awake and asleep with photic stimulation for seizure evaluation,Medicine
95900,nerve conduction motor study,nerve conduction studies motor with or without f wave study for evaluation of neuropathy carpal tunnel syndrome or nerve injury,Medicine
95903,nerve conduction motor study each additional nerve,nerve conduction studies motor with or without f wave study each additional nerve for comprehensive nerve evaluation,Medicine
95907,nerve conduction study 1 to 2 studies,nerve conduction studies 1 to 2 studies for evaluation of peripheral neuropathy or nerve entrapment,Medicine
95910,nerve conduction study 5 to 6 studies,nerve conduction studies 5 to 6 studies for comprehensive evaluation of polyneuropathy or multiple nerve entrapment,Medicine
95923,autonomic function testing sudomotor,testing of autonomic nervous system function sudomotor including quantitative sudomotor axon reflex test for evaluation of neuropathy,Medicine
95930,visual evoked potential testing,visual evoked potential vep checkerboard or flash testing central nervous system for evaluation of optic nerve function,Medicine
96360,intravenous infusion hydration initial 31 minutes to 1 hour,intravenous infusion hydration initial 31 minutes to 1 hour for treatment of dehydration,Medicine
96365,intravenous infusion therapy diagnostic or prophylactic initial up to 1 hour,intravenous infusion for therapy prophylaxis or diagnosis initial up to 1 hour for drug administration,Medicine
96372,therapeutic injection subcutaneous or intramuscular,therapeutic prophylactic or diagnostic injection subcutaneous or intramuscular for medication administration,Medicine
